Niveau,Force,Magie,Espionnage,Artisanat,Diplomatie,Commandement,Attaque,Défense,Résistance,Initiative,Jet de Vigueur,Jet de Volonté,Jet de Réflexes,Nouveaux Talents,Lore
1,12,6,8,8,6,8,12,8,10,8,12,8,8,"blood_fury, Rage cendrée","Ta rage te consume, mais elle te rend plus fort."
2,13,6,8,8,6,8,13,8,11,8,13,8,8,"+1 Force, Frappe sauvage (+2 Dégâts)","Chaque coup est plus puissant que le précédent."
3,14,6,8,8,6,8,14,9,12,9,14,9,9,Rage cendrée +1,"Ta rage grandit à chaque combat."
4,15,6,8,8,6,8,15,9,13,9,15,9,9,Résistance à la douleur (+1 Résistance),"La douleur n’est qu’un carburant pour ta fureur."
5,16,6,8,8,6,9,16,10,14,10,16,10,10,Fureur inarrêtable (Immunité aux effets de contrôle),"Rien ne peut t’arrêter quand tu es enragé."
6,17,6,8,8,6,9,17,10,15,10,17,10,10,Coup dévastateur (Dégâts x1.5),"Tes coups écrasent tout sur leur passage."
7,18,6,8,8,6,10,18,11,16,11,18,11,11,Maîtrise de la rage (+2 Force temporaire),"Ta rage te transforme en une machine de guerre."
8,19,7,8,8,6,10,20,11,17,11,19,11,11,Résistance cendrée (+2 Résistance),"Même les flammes des enfers ne te font pas reculer."
9,20,7,8,8,6,11,22,12,18,12,20,12,12,"Berserker ultime (Attaque x2, mais perd 10% PV par tour)","Ta rage est devenue incontrôlable, mais mortelle."
10,21,7,8,8,6,12,24,13,19,12,21,13,12,Apothéose de la rage (Immunité à tous les dégâts pendant 3 tours),"Tu deviens une tempête de destruction pure."
