Niveau,Force,Magie,Espionnage,Artisanat,Diplomatie,Commandement,Attaque,Défense,Résistance,Initiative,Jet de Vigueur,Jet de Volonté,Jet de Réflexes,Nouveaux Talents,Lore
1,6,12,8,8,8,8,6,6,10,8,6,14,8,"crimson_focus, Déferlement sanguin","Ton sang est la source de ta puissance."
2,6,13,8,8,8,8,6,6,11,8,6,15,9,"+1 Magie, Sort vampirique (Drain 5 PV)","Chaque sort te coûte, mais aussi à ton ennemi."
3,6,14,8,8,8,8,6,7,12,9,7,16,9,Déferlement sanguin +1,"Ton sang bouillonne de puissance."
4,6,15,8,8,8,8,7,7,13,9,7,17,10,"Rituel sanglant (Dégâts +20%, mais coûte 15 PV)","Plus tu saignes, plus tu es puissant."
5,6,16,8,8,9,8,7,7,14,10,8,18,10,"Bouclier de sang (+2 Défense, mais coûte 10 PV)","Ton sang te protège."
6,6,17,8,8,9,8,7,8,15,10,8,19,11,Maîtrise du sang (Réduction coût PV de 10%),"Tu apprends à contrôler le prix de ta magie."
7,6,18,8,8,10,8,7,8,16,11,9,20,11,Transformation sanguinaire (+2 Magie temporaire),"Ton corps se transforme en une arme vivante."
8,6,19,8,8,10,8,7,9,17,11,9,21,12,Explosion de sang (Dégâts de zone),"Ton sang explose en une vague de destruction."
9,7,20,8,8,11,8,8,9,18,12,10,22,12,Maître du sang (+3 Magie),"Ta magie est désormais aussi puissante que celle des Neuf Couronnes."
10,7,21,8,8,12,8,8,10,19,12,10,23,13,"Apothéose sanguinaire (Dégâts x3, mais coûte 50% PV)","Ton sang devient une arme ultime, mais mortelle."
