Niveau,Force,Magie,Espionnage,Artisanat,Diplomatie,Commandement,Attaque,Défense,Résistance,Initiative,Jet de Vigueur,Jet de Volonté,Jet de Réflexes,Nouveaux Talents,Lore
1,8,10,8,8,8,8,8,8,8,8,8,10,8,"abyss_focus, Décharge cendrée","Ton sang bouillonne d’énergie magique."
2,8,11,8,8,8,8,8,8,8,8,8,11,9,"+1 Magie, Sortilège de sang","Chaque sort te coûte un peu de ta vie."
3,8,12,8,8,9,8,8,8,9,9,8,12,9,Décharge cendrée +1,"La magie noire coule dans tes veines."
4,8,13,8,8,9,8,8,9,9,9,9,13,10,Rituel sanglant (Dégâts +15%),"Le prix du pouvoir est écrit dans ton sang."
5,8,14,8,8,10,8,8,9,10,10,9,14,10,Explosion arcanique,"Tes sorts explosent en une vague de destruction."
6,8,15,9,8,10,8,8,9,10,10,10,15,11,Bouclier de sang (+2 Défense),"Ton sang te protège des attaques magiques."
7,8,16,9,8,10,8,8,10,11,11,10,16,11,Drain de vie (Récupère 10 PV par sort),"La vie de tes ennemis alimente ta magie."
8,8,17,9,8,11,8,8,10,11,11,11,17,12,Métamorphose sanguinaire,"Tu te transformes en une créature de sang pur."
9,8,18,10,8,11,8,8,11,12,12,11,18,12,Maîtrise des arcanes cendrés (+20% dégâts magiques),"Ta magie est désormais aussi puissante que celle des Neuf Couronnes."
10,8,19,10,8,12,8,8,12,13,12,12,19,13,Archimage des enfers (Immunité à la magie),"Même les dieux craindraient de t’affronter."
