Niveau,Force,Magie,Espionnage,Artisanat,Diplomatie,Commandement,Attaque,Défense,Résistance,Initiative,Jet de Vigueur,Jet de Volonté,Jet de Réflexes,Nouveaux Talents,Lore
1,8,10,8,8,10,8,8,8,8,8,8,12,8,void_tongue, Explosion du pacte,"Ta langue fourchue parle le langage des Altérés."
2,8,11,8,8,11,8,8,8,9,8,8,13,9,+1 Magie, Négociation cendrée,"Les Altérés écoutent tes arguments."
3,8,12,8,8,12,8,8,9,9,9,9,14,9,Explosion du pacte +1,"Tes sorts explosent avec la puissance de ton pacte."
4,8,13,8,8,13,8,8,9,10,9,9,15,10,Pacte sanglant (Dégâts +15%, mais coûte 10 PV),"Le sang est le prix de la puissance."
5,8,14,8,8,14,8,8,10,10,10,10,16,10,Influence cendré (+2 Diplomatie),"Les Altérés te respectent."
6,8,15,8,8,15,8,8,10,11,10,10,17,11,Rituel de lien (Lie un allié à un Altéré pour +1 Attaque),"Tes alliés gagnent en puissance grâce à tes pactes."
7,8,16,8,8,16,9,8,11,11,11,11,18,11,Maîtrise des pactes (Réduction coût mana -15%),"Les pactes répondent à ton appel plus facilement."
8,8,17,8,8,17,9,8,11,12,11,11,19,12,Appel du seigneur Altéré (Invoque un Altéré mineur),"Ton seigneur Altéré te prête ses serviteurs."
9,8,18,8,8,18,10,8,12,12,12,12,20,12,Corruption (Affaiblit un ennemi de 20%),"La corruption ronge tes ennemis de l’intérieur."
10,8,19,8,8,19,10,8,13,13,12,13,21,13,Pacte ultime (Dégâts x2, mais coûte 50% des PV),"Le pouvoir ultime a un prix ultime."
