Niveau,Force,Magie,Espionnage,Artisanat,Diplomatie,Commandement,Attaque,Défense,Résistance,Initiative,Jet de Vigueur,Jet de Volonté,Jet de Réflexes,Nouveaux Talents,Lore
1,8,10,8,8,10,8,8,10,10,8,8,12,8,soul_anchor, Lumière intérieure,"Ta lumière repousse les ombres de ton passé."
2,8,11,8,8,11,8,8,10,11,8,8,13,8,+1 Magie, Bénédiction des anciens,"Les esprits des ancêtres te guident."
3,8,12,8,8,12,8,8,11,11,9,9,14,9,Lumière intérieure +1,"Ta lumière devient plus intense."
4,8,13,8,8,13,8,8,11,12,9,9,15,9,Purification (Soigne 15 PV),"Ton énergie purifie les blessures."
5,9,14,8,8,14,8,9,12,12,10,10,16,10,Bouclier spirituel (+2 Défense),"Les esprits te protègent des attaques."
6,9,15,8,8,15,8,9,13,13,10,10,17,10,Renaissance (Ressuscite un allié 1x/jour),"La vie est une ressource précieuse."
7,10,16,8,8,16,9,10,13,13,11,11,18,11,Aura sacrée (+1 Résistance à tous),"Ta présence inspire tes alliés."
8,10,17,8,8,17,9,10,14,14,11,11,19,11,Jugement dernier (Dégâts magiques +20%),"Les impurs tremblent devant ta justice."
9,11,18,8,8,18,9,11,15,15,12,12,20,12,Maîtrise des pactes (Réduction coût mana -15%),"Les anciens pactes répondent à ton appel."
10,12,19,8,8,19,10,12,16,16,,,,,,
Niveau,,,,,,,,,,,,,,,
