Niveau,Force,Magie,Espionnage,Artisanat,Diplomatie,Commandement,Attaque,Défense,Résistance,Initiative,Jet de Vigueur,Jet de Volonté,Jet de Réflexes,Nouveaux Talents,Lore
1,8,10,8,10,8,8,8,8,10,8,8,12,8,feral_bond, Forme bestiale,"La nature démoniaque répond à ton appel."
2,8,11,8,11,8,8,8,9,11,8,9,13,8,+1 Artisanat, Croissance sauvage (+10 PV temporaires),"Les plantes obéissent à ta volonté."
3,8,12,8,12,8,8,9,9,12,9,9,14,9,Forme bestiale +1,"Ta forme bestiale devient plus redoutable."
4,9,13,8,13,8,8,9,10,13,9,10,15,9,Régénération naturelle (+5 PV/tour),"Ton corps se répare rapidement."
5,9,14,8,14,8,8,10,10,14,10,10,16,10,Lien avec les bêtes (Invoque 1 créature allié),"Les démons mineurs te reconnaissent comme leur maître."
6,10,15,8,15,8,8,10,11,15,10,11,17,10,Maîtrise des éléments (+1 Magie),"Tu contrôles les forces primordiales."
7,10,16,8,16,8,9,11,11,16,11,11,18,11,Métamorphose totale (Forme bestiale améliorée),"Tu deviens une créature légendaire."
8,11,17,8,17,8,9,12,12,17,11,12,19,11,Symbiose démoniaque (+2 Artisanat),"Ton lien avec les démons grandit."
9,11,18,8,18,8,10,13,12,18,12,12,20,12,Appel de la nature infernale (Soigne tous les alliés),"La nature démoniaque te répond."
10,12,19,8,19,9,10,14,13,19,12,13,21,13,Forme primitive (Immunité aux effets mentaux),"Tu deviens une force inarrêtable de la nature démoniaque."
